species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,180.85719361969942,3747.6131013805402,MALE
Adelie,Torgersen,39.5,17.4,185.41982358474618,3834.9852126423752,FEMALE
Adelie,Torgersen,40.3,18.0,195.9761938630093,3363.754775168939,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,36.7,19.3,192.52433833757345,3444.084990343043,FEMALE
Adelie,Torgersen,39.3,20.6,191.88960995447923,3636.2309743520063,MALE
Adelie,Torgersen,38.9,17.8,180.15356962563294,3548.187684090253,FEMALE
Adelie,Torgersen,39.2,19.6,195.28205437149055,4726.7688647118275,MALE
Adelie,Torgersen,34.1,18.1,192.76218960343382,3531.0710239722184,
Adelie,Torgersen,42.0,20.2,189.05071038572632,4228.715387621766,
Adelie,Torgersen,37.8,17.1,186.7513868990089,3316.643080220215,
Adelie,Torgersen,37.8,17.3,180.41757149684088,3727.7643695514753,
Adelie,Torgersen,41.1,17.6,183.7164463536353,3198.1277345708886,FEMALE
Adelie,Torgersen,38.6,21.2,191.2550484167386,3789.137718527306,MALE
Adelie,Torgersen,34.6,21.1,199.59587547869532,4370.132226828458,MALE
Adelie,Torgersen,36.6,17.8,185.69627098347837,3686.757463304677,FEMALE
Adelie,Torgersen,38.7,19.0,195.87777845327884,3499.9979832658278,FEMALE
Adelie,Torgersen,42.5,20.7,198.16994114387182,4542.675475201625,MALE
Adelie,Torgersen,34.4,18.4,184.22789018864592,3398.857472155259,FEMALE
Adelie,Torgersen,46.0,21.5,194.22781525112967,4148.5358414099055,MALE
Adelie,Biscoe,37.8,18.3,174.78772980308366,3350.9374905014633,FEMALE
Adelie,Biscoe,37.7,18.7,179.8258981646523,3472.5758515565067,MALE
Adelie,Biscoe,35.9,19.2,188.86844718345378,3783.068678415698,FEMALE
Adelie,Biscoe,38.2,18.1,184.19106599853075,3886.259475805508,MALE
Adelie,Biscoe,38.8,17.2,178.60979202111304,3814.4453946244275,MALE
Adelie,Biscoe,35.3,18.9,187.16696287335847,3873.2724422352585,FEMALE
Adelie,Biscoe,40.6,18.6,183.6123629485423,3518.8243269178315,MALE
Adelie,Biscoe,40.5,17.9,186.24122589638372,3162.3154308595117,FEMALE
Adelie,Biscoe,37.9,18.6,171.9691988776529,3229.5829966405986,FEMALE
Adelie,Biscoe,40.5,18.9,179.53993659668922,3984.8458438611233,MALE
Adelie,Dream,39.5,16.7,178.58468492080263,3273.585195368757,FEMALE
Adelie,Dream,37.2,18.1,178.42706144762238,3872.660811219321,MALE
Adelie,Dream,39.5,17.8,185.02833067693126,3289.7098931791047,FEMALE
Adelie,Dream,40.9,18.9,183.34450833678454,3834.3940175741136,MALE
Adelie,Dream,36.4,17.0,196.30533105266392,3413.2985993537836,FEMALE
Adelie,Dream,39.2,21.1,196.53969553896178,4174.681715324142,MALE
Adelie,Dream,38.8,20.0,188.99508727104808,4056.364227417551,MALE
Adelie,Dream,42.2,18.5,180.0997426594893,3514.7050680579914,FEMALE
Adelie,Dream,37.6,19.3,180.1592256594822,3239.5012558171884,FEMALE
Adelie,Dream,39.8,19.1,183.81823572679357,4581.220826377261,MALE
